Drug1,Drug1 Description,Drug2,Drug2 Description,Interaction Risk (1-10)
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",4
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",7
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",9
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",9
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",8
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",6
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",10
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",1
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",4
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",1
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",10
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",9
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",1
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",3
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",2
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",5
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",7
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",2
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",4
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",5
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",7
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",2
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",9
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",10
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",7
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",8
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",1
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",1
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",3
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",1
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",9
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",4
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",3
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",4
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",3
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",9
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",7
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",1
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",8
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",7
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",3
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",10
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",2
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",3
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",9
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",9
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",4
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",4
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",2
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",10
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",3
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",5
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",8
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",8
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",6
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",6
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",7
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",8
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",7
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",5
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",2
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",1
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",2
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",7
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",9
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",6
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",2
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",3
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",1
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",8
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",5
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",4
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",8
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",10
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",10
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",4
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",8
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",9
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",4
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",2
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",8
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",7
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",6
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",10
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",4
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",7
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",1
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",10
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",3
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",6
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",10
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",8
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",6
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",2
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",5
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",9
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",2
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",8
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",3
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",7
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",8
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",6
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",5
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",10
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",8
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",1
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",7
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",1
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",7
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",10
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",3
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",10
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",2
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",10
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",9
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",7
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",4
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",8
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",5
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",7
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",2
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",3
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",4
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",7
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",10
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",1
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",6
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",8
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",5
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",3
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",6
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",9
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",1
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",3
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",6
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",4
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",2
